date,trial_id,sample_id,start_time,disc1_pre,disc2_pre,pre_combustion,ignition_delay,flame_duration,post_combustion,flame_height,disc1_post,disc2_post,vol_burned,notes
5/17/2023,3,DK01,12:52,141.5,140.2,yes,5,26,35,8,135,,2,"forget to measure the disc2 post, I pointed the blow torch to where there was precombustion and I removed this sample  before smoke disappeared."
5/17/2023,2,DK02,12:44,144.9,144,yes,4,32,10,10,150,,10,forget to measure the disc2 post 
5/17/2023,1,DK03,12:36,148.5,145,no,2,2,0,7,149,148.1,2,
5/18/2023,4,DK04,13:11,154.1,144.3,yes,8,8,346,34,228.7,219.1,90,ignited during post combustion
5/18/2023,6,DK05,13:46,148.8,141.9,yes,2,30,68,17,154.9,156,45,
5/18/2023,8,DK06,14:09,149.3,136.1,no,10,2,48,5,148.1,138.6,2,
5/18/2023,5,DK07,13:27,152.2,141.9,yes,23,317,300,38,271,243.1,82,
5/18/2023,7,DK08,13:56,155.4,142.4,yes,2,69,42,21,155.8,156.5,60,
5/18/2023,9,DK09,14:19,143.1,143.6,no,2,2,65,4,153,144.8,2,
5/19/2023,11,DK10,13:15,145.1,146.6,yes,12,267,526,37,,,85,forget to measure the post discs temp
5/19/2023,13,DK11,13:56,147.9,148.3,yes,2,32,89,31,155.1,192.1,60,
5/18/2023,10,DK12,14:26,154.2,143.6,yes,1,6,93,5,154,126.4,3,
5/19/2023,12,DK13,13:38,142.4,145,yes,18,382,320,44,258.2,225.1,92,
5/19/2023,14,DK14,14:05,145.5,149.4,yes,2,49,119,25,146.8,163.2,30,
5/19/2023,15,DK15,14:12,142.5,145.4,no,4,12,49,3,131.1,132.1,3,
5/20/2023,18,DK16,17:26,148.7,147.7,yes,8,132,720,39,273,330.3,70,
5/20/2023,19,DK17,17:49,152.4,143.9,yes,2,17,123,17,156,157.3,40,
5/20/2023,20,DK18,18:00,144.8,147.9,yes,7,14,115,14,155.4,141.8,8,
5/19/2023,16,PHTR1,14:19,144.5,145.2,yes,3,9,70,14,143.7,145.2,5,
5/19/2023,17,PRGL21,14:25,144.7,152.1,yes,1,45,84,33,168.2,178.7,75,
