sample_id,spcode,wp,twig_leaf_fresh_mass,twig_leaf_dry_mass,leaf_fresh_mass,leaf_dry_mass,notes
DK01,JUPI,0.22,0.3723,0.2228,0.7105,0.3954,
DK02,JUPI,1.53,0.7011,0.4054,0.1803,0.1034,
DK03,JUPI,2.15,0.9952,0.6251,0.4947,0.3084,
DK04,JUPI,2.35,0.4281,0.262,1.9554,1.1036,
DK05,JUPI,3.4,0.2965,0.1845,0.3778,0.2332,
DK06,JUPI,6.9,0.4619,0.323,0.2641,0.1752,
DK07,JUPI,3.36,0.7726,0.466,0.2718,0.1522,
DK08,RHTR,1.7,0.1742,0.0969,0.1861,0.0793,
DK09,RHTR,1.07,0.2898,0.1372,0.1969,0.0787,
DK10,RHTR,1.1,0.396,0.1953,0.1387,0.065,
DK11,RHTR,1.9,0.4155,0.2215,0.1434,0.0693,
DK12,RHTR,5.2,0.1487,0.0987,0.1479,0.0788,
DK13,RHTR,0.9,0.2172,0.1162,0.2846,0.163,
DK14,RHTR,2.6,0.3504,0.2126,0.169,0.1006,
DK15,PRGL2,3.5,1.0532,0.6545,0.6355,0.374,
DK16,PRGL2,7,0.2466,0.1892,0.1177,0.1067,didn't see water bubble coming out even after -7
DK17,PRGL2,4.4,0.6483,0.2416,0.2492,0.0932,
DK18,PRGL2,7,0.5202,0.3301,0.3147,0.1983,didn't see water bubble coming out even after -7
DK19,PRGL2,7,0.529,0.4161,0.2931,0.252,
DK20,PRGL2,7,0.3081,0.2561,0.4619,0.4205,same as DK18 and DK16
DK21,PRGL2,7,0.2256,0.1844,0.0875,0.0806,same as DK20
DK22,PRAN3,0.13,0.5284,0.2208,0.2865,0.112,
DK23,PRAN3,2.35,0.2239,0.0982,0.2264,0.0885,
DK24,PRAN3,3.4,0.7327,0.3491,0.5653,0.2393,
DK25,PRAN3,3.78,0.5319,0.2722,0.2481,0.1104,
DK26,PRAN3,4.3,0.3464,0.1931,0.3903,0.1938,
DK27,PRAN3,4.95,0.2871,0.1587,0.4459,0.2239,
DK28,PRAN3,6.9,0.2789,0.178,0.2991,0.159,
DK29,CELAR,5.9,0.2719,0.2269,0.1105,0.0962,
DK30,CELAR,2.7,0.2629,0.0923,0.1608,0.061,
DK31,CELAR,0.9,0.3787,0.1248,0.2547,0.0949,
DK32,CELAR,8.7,0.0995,0.0779,0.0675,0.0639,
DK33,CELAR,7.1,0.2136,0.1529,0.1847,0.1367,
DK34,CELAR,9.4,0.2412,0.2105,0.0523,0.0486,
DK35,CELAR,3.82,0.2027,0.1537,0.116,0.0864,
ST01,QUVI,1.78,0.126,0.0708,0.1188,0.0619,
ST02,QUVI,3.14,0.6579,0.3592,0.1376,0.0739,
ST03,QUVI,5.6,0.4689,0.2971,0.1015,0.0649,
ST04,QUVI,6.18,0.8086,0.5399,0.298,0.2036,fully_submerged
ST05,QUVI,3.95,0.2169,0.1262,0.0965,0.0575,fully_submerged
ST06,QUVI,5.1,0.0866,0.0607,0.0799,0.0582,fully_submerged
ST07,QUVI,4.2,0.3278,0.229,0.1097,0.0773,fully_submerged
ST08,SOSE3,0.32,0.8014,0.3496,0.5399,0.2327,
ST09,SOSE3,2.55,1.1469,0.6137,0.8575,0.4574,
ST10,SOSE3,0.9,0.4001,0.1845,0.3829,0.1774,
ST11,SOSE3,4.68,0.9772,0.5562,0.9271,0.551,
ST12,SOSE3,7.15,0.425,0.2612,1.1117,0.7633,
